"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2020","25,942.8","26,012.5","26,134.1","25,932.1","122.29K","-0.22%"
"06/18/2020","25,999.8","26,083.3","26,144.8","25,964.9","125.42K","-0.30%"
"06/17/2020","26,079.3","26,149.4","26,201.6","25,996.3","137.09K","-0.23%"
"06/16/2020","26,139.1","26,293.7","26,364.2","26,064.6","120.59K","-0.57%"
"06/15/2020","26,289.7","26,097.4","26,320.4","26,052.2","127.39K","0.66%"
"06/12/2020","26,116.0","26,232.3","26,334.9","26,019.7","119.09K","-0.42%"
"06/11/2020","26,226.0","26,386.5","26,476.1","26,205.6","144.08K","-0.53%"
"06/10/2020","26,364.7","26,321.9","26,501.4","26,268.2","121.00K","0.22%"
"06/09/2020","26,307.5","26,274.0","26,376.5","26,086.4","119.43K","0.18%"
"06/08/2020","26,259.6","26,258.2","26,331.5","26,205.4","92.19K","0.07%"
"06/05/2020","26,240.9","26,377.3","26,480.3","26,232.6","118.70K","-0.49%"
"06/04/2020","26,370.9","26,132.5","26,435.4","26,044.6","123.96K","0.94%"
"06/03/2020","26,125.6","25,982.2","26,187.2","25,969.4","136.53K","0.59%"
"06/02/2020","25,971.3","25,910.2","26,039.1","25,848.4","128.74K","0.28%"
"06/01/2020","25,897.7","25,834.3","25,969.9","25,824.2","104.00K","0.24%"
"05/29/2020","25,836.1","25,821.7","25,949.6","25,793.7","119.68K","0.11%"
"05/28/2020","25,807.1","25,669.7","25,860.1","25,620.0","121.61K","0.56%"
"05/27/2020","25,664.5","25,631.0","25,732.6","25,504.0","123.62K","0.16%"
"05/26/2020","25,622.9","25,410.0","25,662.5","25,391.4","100.58K","0.85%"
"05/25/2020","25,407.8","25,369.6","25,447.3","25,333.5","65.25K","0.19%"
"05/22/2020","25,358.7","25,487.7","25,513.3","25,328.8","119.00K","-0.49%"
"05/21/2020","25,483.8","25,552.0","25,627.4","25,457.4","109.51K","-0.23%"
"05/20/2020","25,543.5","25,462.2","25,599.8","25,437.8","118.52K","0.40%"
"05/19/2020","25,440.5","25,470.4","25,577.6","25,398.6","112.08K","-0.09%"
"05/18/2020","25,464.1","25,263.5","25,504.2","25,205.5","90.60K","0.81%"
"05/15/2020","25,258.4","25,256.7","25,345.2","25,199.2","98.49K","0.12%"
"05/14/2020","25,227.3","25,258.5","25,300.2","25,185.4","115.49K","-0.10%"
"05/13/2020","25,252.1","25,313.8","25,441.8","25,241.0","120.00K","-0.20%"
"05/12/2020","25,303.7","25,206.8","25,401.3","25,153.1","125.14K","0.40%"
"05/11/2020","25,201.8","25,337.6","25,394.4","25,191.6","96.79K","-0.55%"
"05/08/2020","25,340.7","25,381.4","25,473.9","25,282.7","104.99K","-0.14%"
"05/07/2020","25,376.3","25,286.8","25,383.7","25,222.0","109.26K","0.37%"
"05/06/2020","25,282.8","25,389.4","25,409.4","25,255.1","106.08K","-0.37%"
"05/05/2020","25,376.7","25,572.6","25,594.8","25,355.5","100.34K","-0.75%"
"05/04/2020","25,569.1","25,726.2","25,726.2","25,544.4","87.76K","-0.59%"
"05/01/2020","25,721.6","25,668.8","25,815.2","25,617.3","91.35K","0.22%"
"04/30/2020","25,665.4","25,472.0","25,708.6","25,379.5","122.44K","0.75%"
"04/29/2020","25,473.3","25,366.3","25,506.0","25,361.6","131.43K","0.45%"
"04/28/2020","25,359.6","25,402.2","25,530.4","25,342.9","132.72K","-0.15%"
"04/27/2020","25,397.1","25,410.8","25,479.6","25,369.0","113.21K","-0.14%"
"04/24/2020","25,432.4","25,313.2","25,462.5","25,218.0","119.74K","0.49%"
"04/23/2020","25,307.4","25,413.6","25,476.4","25,260.4","121.37K","-0.40%"
"04/22/2020","25,409.0","25,471.6","25,580.6","25,363.1","114.99K","-0.23%"
"04/21/2020","25,468.2","25,472.5","25,529.1","25,374.2","121.52K","-0.01%"
"04/20/2020","25,471.4","25,473.5","25,555.7","25,422.1","114.33K","0.02%"
"04/17/2020","25,466.6","25,408.1","25,526.7","25,325.9","129.18K","0.27%"
"04/16/2020","25,397.2","25,576.9","25,584.0","25,364.7","128.73K","-0.66%"
"04/15/2020","25,566.0","25,776.8","25,801.4","25,450.3","111.32K","-0.79%"
